gene,mean_readout,nonzero_fraction
ABCC11,0.004511959385126829,1.0
ACE2,0.04549563676118851,1.0
ACKR1,0.04383378475904465,1.0
ACTA2,0.35827669501304626,1.0
ACTG2,0.5670421123504639,1.0
ADAM28,0.1659408062696457,1.0
ADAMTS1,0.19491419196128845,1.0
ADGRE1,0.0279975775629282,1.0
ADGRL4,0.12922976911067963,1.0
ADH1C,0.08663474023342133,1.0
ADH4,0.08251693844795227,1.0
ADIPOQ,0.014947566203773022,1.0
AGER,0.01859501376748085,1.0
AGR3,0.03605951741337776,1.0
AHSP,0.016548726707696915,1.0
AIF1,0.30925852060317993,1.0
ALAS2,0.015264449641108513,1.0
ALDH1A3,0.08633764833211899,1.0
AMY2A,0.15947964787483215,1.0
ANGPT2,0.0545361265540123,1.0
ANPEP,0.19508376717567444,1.0
APCDD1,0.09989089518785477,1.0
APOA5,0.03814726695418358,1.0
APOBEC3A,0.08289451897144318,1.0
APOLD1,0.12219943851232529,1.0
AQP2,0.011210374534130096,1.0
AQP3,0.1362452507019043,1.0
AQP8,0.07075164467096329,1.0
AQP9,0.07333849370479584,1.0
AR,0.03930959478020668,1.0
ARFGEF3,0.06024128943681717,1.0
ASCL1,0.005778610706329346,1.0
ASCL3,0.01936630718410015,1.0
ASPN,0.14575234055519104,1.0
BAMBI,0.10328809916973114,1.0
BANK1,0.22747766971588135,1.0
BASP1,0.5404413938522339,1.0
BBOX1,0.03182843327522278,1.0
BCL2L11,0.2399323284626007,1.0
BMX,0.02506152167916298,1.0
BTNL9,0.041377827525138855,1.0
C15orf48,0.13353681564331055,1.0
C1orf162,0.22585463523864746,1.0
C1orf194,0.016880758106708527,1.0
C20orf85,0.004011866636574268,1.0
C5orf46,0.0446920320391655,1.0
C6orf118,0.018410630524158478,1.0
C7,0.0932062417268753,1.0
CA4,0.012776563875377178,1.0
CAPN8,0.08385852724313736,1.0
CAV1,0.25107166171073914,1.0
CAVIN1,0.5626193881034851,1.0
CAVIN2,0.06615094095468521,1.0
CCDC39,0.020955480635166168,1.0
CCDC78,0.010392170399427414,1.0
CCL19,0.11254227161407471,1.0
CCL27,0.014929619617760181,1.0
CCL5,0.2248891144990921,1.0
CCNB2,0.17568643391132355,1.0
CCR2,0.057428665459156036,1.0
CCR7,0.13009296357631683,1.0
CD14,0.20246930420398712,1.0
CD163,0.13968941569328308,1.0
CD19,0.11282263696193695,1.0
CD1A,0.024647923186421394,1.0
CD1C,0.06209173798561096,1.0
CD1E,0.03779973089694977,1.0
CD2,0.23462621867656708,1.0
CD247,0.1300138384103775,1.0
CD27,0.11476804316043854,1.0
CD274,0.06190809607505798,1.0
CD28,0.1448645442724228,1.0
CD300E,0.03715423494577408,1.0
CD34,0.16422629356384277,1.0
CD3D,0.20039434731006622,1.0
CD3E,0.26270636916160583,1.0
CD4,0.22923775017261505,1.0
CD5L,0.04013912379741669,1.0
CD68,0.16475829482078552,1.0
CD69,0.09706218540668488,1.0
CD70,0.017917199060320854,1.0
CD79A,0.273064523935318,1.0
CD83,0.1570008248090744,1.0
CD86,0.10615614801645279,1.0
CD8A,0.14758087694644928,1.0
CD93,0.2083936631679535,1.0
CDH16,0.027203833684325218,1.0
CDK1,0.2567024827003479,1.0
CENPF,0.2352561056613922,1.0
CFAP53,0.025579119101166725,1.0
CFB,0.4415295124053955,1.0
CFHR1,0.10205475240945816,1.0
CFHR3,0.14206954836845398,1.0
CFTR,0.09588225185871124,1.0
CHGA,0.0288988146930933,1.0
CLCA1,0.03558415547013283,1.0
CLCA2,0.34395915269851685,1.0
CLEC10A,0.06420012563467026,1.0
CLEC14A,0.08974982798099518,1.0
CLEC4E,0.06609511375427246,1.0
CLECL1,0.07230322808027267,1.0
CLIC6,0.08164399117231369,1.0
CNN1,0.1483343094587326,1.0
COCH,0.08922604471445084,1.0
COL17A1,0.28720203042030334,1.0
COL5A2,0.36785271763801575,1.0
CPA3,0.031129632145166397,1.0
CRHBP,0.010400049388408661,1.0
CRISPLD2,0.1731354296207428,1.0
CSF2RA,0.08773250877857208,1.0
CSF3,0.024741170927882195,1.0
CTLA4,0.13051609694957733,1.0
CTSG,0.008402924984693527,1.0
CTSK,0.2769485116004944,1.0
CXCL10,0.2435120791196823,1.0
CXCL2,0.16229864954948425,1.0
CXCL6,0.13267666101455688,1.0
CXCL9,0.22588086128234863,1.0
CXCR4,0.3873286843299866,1.0
CYP1A1,0.02440199814736843,1.0
CYP2A7,0.06026114895939827,1.0
CYP2B6,0.06564191728830338,1.0
CYP2F1,0.026294371113181114,1.0
CYP3A4,0.06672625988721848,1.0
CYP4B1,0.06242166832089424,1.0
CYTIP,0.3278094530105591,1.0
DERL3,0.04147965461015701,1.0
DES,0.17041175067424774,1.0
DIRAS3,0.019468501210212708,1.0
DMBT1,0.043505385518074036,1.0
DNAAF1,0.0211961567401886,1.0
DNASE1L3,0.06514166295528412,1.0
DPEP1,0.02223757468163967,1.0
DPT,0.11074942350387573,1.0
DST,0.4826011657714844,1.0
DUSP2,0.06593641638755798,1.0
ECSCR,0.08652649819850922,1.0
EDN1,0.09153544902801514,1.0
EDNRB,0.08766870200634003,1.0
EGFL7,0.07475303113460541,1.0
EGFR,0.16475726664066315,1.0
EHF,0.3010907769203186,1.0
ELF5,0.05625162273645401,1.0
EPCAM,0.40048545598983765,1.0
ERBB2,0.13758446276187897,1.0
ERG,0.06846144050359726,1.0
ESR1,0.03947589546442032,1.0
FAS,0.18964657187461853,1.0
FBLN1,0.3238547444343567,1.0
FBN1,0.36113426089286804,1.0
FCER1A,0.04220076650381088,1.0
FCGR1A,0.12724922597408295,1.0
FCGR3A,0.19061021506786346,1.0
FCN1,0.03688310086727142,1.0
FCN2,0.027844969183206558,1.0
FGFBP1,0.1620008796453476,1.0
FGFBP2,0.021561335772275925,1.0
FGL2,0.2706236243247986,1.0
