gene,mean_readout,nonzero_fraction
ABCC11,0.004320076666772366,1.0
ACE2,0.09041230380535126,1.0
ACKR1,0.04441381245851517,1.0
ACTA2,0.3344879448413849,1.0
ACTG2,0.5760583281517029,1.0
ADAM28,0.17522573471069336,1.0
ADAMTS1,0.21889367699623108,1.0
ADGRE1,0.02405419386923313,1.0
ADGRL4,0.1126432791352272,1.0
ADH1C,0.08541722595691681,1.0
ADH4,0.07565604150295258,1.0
ADIPOQ,0.014193517155945301,1.0
AGER,0.015014052391052246,1.0
AGR3,0.10059796273708344,1.0
AHSP,0.014820952899754047,1.0
AIF1,0.4050302505493164,1.0
ALAS2,0.012383131310343742,1.0
ALDH1A3,0.09543084353208542,1.0
AMY2A,0.15993008017539978,1.0
ANGPT2,0.038102779537439346,1.0
ANPEP,0.21358518302440643,1.0
APCDD1,0.10800963640213013,1.0
APOA5,0.032072991132736206,1.0
APOBEC3A,0.07259394228458405,1.0
APOLD1,0.11091389507055283,1.0
AQP2,0.010735875926911831,1.0
AQP3,0.14344258606433868,1.0
AQP8,0.06714853644371033,1.0
AQP9,0.06752888858318329,1.0
AR,0.03032533824443817,1.0
ARFGEF3,0.06748288869857788,1.0
ASCL1,0.0062087238766252995,1.0
ASCL3,0.018031403422355652,1.0
ASPN,0.1145651713013649,1.0
BAMBI,0.07954854518175125,1.0
BANK1,0.22439968585968018,1.0
BASP1,0.5370138883590698,1.0
BBOX1,0.027891885489225388,1.0
BCL2L11,0.22902441024780273,1.0
BMX,0.02436612918972969,1.0
BTNL9,0.0412149615585804,1.0
C15orf48,0.1265588104724884,1.0
C1orf162,0.2747846245765686,1.0
C1orf194,0.013612285256385803,1.0
C20orf85,0.0021964763291180134,1.0
C5orf46,0.034308917820453644,1.0
C6orf118,0.014459791593253613,1.0
C7,0.0992697924375534,1.0
CA4,0.013599356636404991,1.0
CAPN8,0.22987601161003113,1.0
CAV1,0.21591313183307648,1.0
CAVIN1,0.5113605856895447,1.0
CAVIN2,0.08500910550355911,1.0
CCDC39,0.0167106743901968,1.0
CCDC78,0.013530559837818146,1.0
CCL19,0.11157629638910294,1.0
CCL27,0.012617637403309345,1.0
CCL5,0.2865266501903534,1.0
CCNB2,0.08303167670965195,1.0
CCR2,0.054542046040296555,1.0
CCR7,0.14352260529994965,1.0
CD14,0.25267571210861206,1.0
CD163,0.16725030541419983,1.0
CD19,0.1158834844827652,1.0
CD1A,0.0257935281842947,1.0
CD1C,0.07475825399160385,1.0
CD1E,0.03705338016152382,1.0
CD2,0.2690185010433197,1.0
CD247,0.13957956433296204,1.0
CD27,0.1192992702126503,1.0
CD274,0.05297243595123291,1.0
CD28,0.15726876258850098,1.0
CD300E,0.03417892009019852,1.0
CD34,0.1665157824754715,1.0
CD3D,0.2154630869626999,1.0
CD3E,0.30101558566093445,1.0
CD4,0.2730639576911926,1.0
CD5L,0.036221254616975784,1.0
CD68,0.20466208457946777,1.0
CD69,0.1102440133690834,1.0
CD70,0.017506930977106094,1.0
CD79A,0.27319663763046265,1.0
CD83,0.16300182044506073,1.0
CD86,0.1161024421453476,1.0
CD8A,0.16354866325855255,1.0
CD93,0.23510603606700897,1.0
CDH16,0.027626048773527145,1.0
CDK1,0.13823743164539337,1.0
CENPF,0.1041048988699913,1.0
CFAP53,0.02173551544547081,1.0
CFB,0.4224576950073242,1.0
CFHR1,0.09227930009365082,1.0
CFHR3,0.1425420343875885,1.0
CFTR,0.09573794156312943,1.0
CHGA,0.02764805033802986,1.0
CLCA1,0.03368167206645012,1.0
CLCA2,0.21153107285499573,1.0
CLEC10A,0.07932665944099426,1.0
CLEC14A,0.09495043009519577,1.0
CLEC4E,0.053431324660778046,1.0
CLECL1,0.06755433231592178,1.0
CLIC6,0.10087976604700089,1.0
CNN1,0.1458663046360016,1.0
COCH,0.051727376878261566,1.0
COL17A1,0.30902594327926636,1.0
COL5A2,0.3175235688686371,1.0
CPA3,0.04063964635133743,1.0
CRHBP,0.009461430832743645,1.0
CRISPLD2,0.17584019899368286,1.0
CSF2RA,0.12347350269556046,1.0
CSF3,0.024564025923609734,1.0
CTLA4,0.1295684427022934,1.0
CTSG,0.008556416258215904,1.0
CTSK,0.20903654396533966,1.0
CXCL10,0.2035493403673172,1.0
CXCL2,0.16057854890823364,1.0
CXCL6,0.09124905616044998,1.0
CXCL9,0.2332734614610672,1.0
CXCR4,0.4134184718132019,1.0
CYP1A1,0.02327827736735344,1.0
CYP2A7,0.05184722691774368,1.0
CYP2B6,0.17196178436279297,1.0
CYP2F1,0.023674894124269485,1.0
CYP3A4,0.06722132861614227,1.0
CYP4B1,0.1210876852273941,1.0
CYTIP,0.3553704619407654,1.0
DERL3,0.04063449427485466,1.0
DES,0.17917270958423615,1.0
DIRAS3,0.016710735857486725,1.0
DMBT1,0.02293870970606804,1.0
DNAAF1,0.017952267080545425,1.0
DNASE1L3,0.07124319672584534,1.0
DPEP1,0.025068823248147964,1.0
DPT,0.09304343163967133,1.0
DST,0.4853651523590088,1.0
