project_id,case_submitter_id,case_id,sample_submitter_ids,sample_types,aliquot_submitter_ids,file_id,file_name,peptide_target,agid,lab_id,catalog_number,set_id,protein_expression
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,1433BETA,AGID00100,882,sc-628,Old,-0.10924
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,1433EPSILON,AGID00111,913,sc-23957,Old,-0.19265
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,1433ZETA,AGID00101,883,sc-1019,Old,1.0803
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,4EBP1,AGID00001,2,9452,Old,1.5051
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,4EBP1_pS65,AGID00002,3,9456,Old,-0.066813
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,4EBP1_pT37T46,AGID00003,6,9459,Old,1.1469
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,4EBP1_pT70,AGID00443,8,9455,Old,0.82687
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,53BP1,AGID00120,985,4937,Old,-1.1798
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,ACC_pS79,AGID00004,13,3661,Old,-0.23721
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,ACC1,AGID00005,14,1768-1/ab45174,Old,-1.3055
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,AceCS1,AGID00408,2372,3658,Set165,-1.5361672803114
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,ACETYLATUBULINLYS40,AGID00473,1182,5335,Old,-0.53212
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,ACSL1,AGID00404,2367,9189,Set165,-0.0879166335796076
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,ACVRL1,AGID02144,2450,PA5-27081,Old,0.39211
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,ADAR1,AGID00186,1198,ab88574,Old,-0.075187
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,AKT,AGID00146,1084,4691,Old,-0.45989
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,AKT_pS473,AGID00028,230,9271,Old,-0.18014
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,AKT_pT308,AGID00170,1154,2965,Old,-0.25711
TCGA-LUSC,TCGA-37-3789,fd881d58-c9c7-479b-b76b-1f3c2ab1b015,TCGA-37-3789-01A,Primary Tumor,,7bd74433-22c8-42cb-80d6-52f6bc7e595c,TCGA-37-3789-01A-21-2193-20_RPPA_data.tsv,Akt2,AGID00316,1800,3063,Set165,-0.472163643957825
