gene,mean_readout,nonzero_fraction
ABCC11,0.003360783215612173,1.0
ACE2,0.06473512947559357,1.0
ACKR1,0.0391102209687233,1.0
ACTA2,0.4493637979030609,1.0
ACTG2,0.6089383363723755,1.0
ADAM28,0.17373012006282806,1.0
ADAMTS1,0.20430871844291687,1.0
ADGRE1,0.024611258879303932,1.0
ADGRL4,0.12095050513744354,1.0
ADH1C,0.09122930467128754,1.0
ADH4,0.08131887018680573,1.0
ADIPOQ,0.0150565505027771,1.0
AGER,0.016080813482403755,1.0
AGR3,0.05893190950155258,1.0
AHSP,0.014904497191309929,1.0
AIF1,0.3386947810649872,1.0
ALAS2,0.01633925549685955,1.0
ALDH1A3,0.09235946089029312,1.0
AMY2A,0.17010338604450226,1.0
ANGPT2,0.04968594014644623,1.0
ANPEP,0.21694734692573547,1.0
APCDD1,0.12911348044872284,1.0
APOA5,0.03572048991918564,1.0
APOBEC3A,0.07189185917377472,1.0
APOLD1,0.11577548086643219,1.0
AQP2,0.00927276536822319,1.0
AQP3,0.12112518399953842,1.0
AQP8,0.06781690567731857,1.0
AQP9,0.06671403348445892,1.0
AR,0.03619007021188736,1.0
ARFGEF3,0.07757696509361267,1.0
ASCL1,0.006433603819459677,1.0
ASCL3,0.021952802315354347,1.0
ASPN,0.1860066056251526,1.0
BAMBI,0.12410559505224228,1.0
BANK1,0.23059913516044617,1.0
BASP1,0.5216518640518188,1.0
BBOX1,0.03033563867211342,1.0
BCL2L11,0.23495879769325256,1.0
BMX,0.024288518354296684,1.0
BTNL9,0.03647617995738983,1.0
C15orf48,0.12008776515722275,1.0
C1orf162,0.23820440471172333,1.0
C1orf194,0.016769014298915863,1.0
C20orf85,0.004073556512594223,1.0
C5orf46,0.0460779033601284,1.0
C6orf118,0.01712389662861824,1.0
C7,0.09563522785902023,1.0
CA4,0.01308782584965229,1.0
CAPN8,0.20952777564525604,1.0
CAV1,0.18346180021762848,1.0
CAVIN1,0.5579273700714111,1.0
CAVIN2,0.07444421947002411,1.0
CCDC39,0.016009461134672165,1.0
CCDC78,0.01311529241502285,1.0
CCL19,0.11815981566905975,1.0
CCL27,0.01750129647552967,1.0
CCL5,0.21404507756233215,1.0
CCNB2,0.11257261037826538,1.0
CCR2,0.05316340923309326,1.0
CCR7,0.1318586766719818,1.0
CD14,0.22397272288799286,1.0
CD163,0.15768267214298248,1.0
CD19,0.11410192400217056,1.0
CD1A,0.0207553468644619,1.0
CD1C,0.06117543578147888,1.0
CD1E,0.030786767601966858,1.0
CD2,0.21872687339782715,1.0
CD247,0.12731030583381653,1.0
CD27,0.11208436638116837,1.0
CD274,0.04586775600910187,1.0
CD28,0.14315536618232727,1.0
CD300E,0.03392212837934494,1.0
CD34,0.17799381911754608,1.0
CD3D,0.1864769160747528,1.0
CD3E,0.250670462846756,1.0
CD4,0.24659058451652527,1.0
CD5L,0.03752341493964195,1.0
CD68,0.1936878114938736,1.0
CD69,0.09805355966091156,1.0
CD70,0.015872154384851456,1.0
CD79A,0.26664623618125916,1.0
CD83,0.15906363725662231,1.0
CD86,0.1093934178352356,1.0
CD8A,0.12816429138183594,1.0
CD93,0.22270452976226807,1.0
CDH16,0.025353755801916122,1.0
CDK1,0.15783333778381348,1.0
CENPF,0.13540944457054138,1.0
CFAP53,0.025608856230974197,1.0
CFB,0.4663085341453552,1.0
CFHR1,0.09849879890680313,1.0
CFHR3,0.1496995985507965,1.0
CFTR,0.09774579107761383,1.0
CHGA,0.028227636590600014,1.0
CLCA1,0.03239225596189499,1.0
CLCA2,0.20199081301689148,1.0
CLEC10A,0.07024659216403961,1.0
CLEC14A,0.08254261314868927,1.0
CLEC4E,0.05766450613737106,1.0
CLECL1,0.06821800768375397,1.0
CLIC6,0.10101771354675293,1.0
CNN1,0.18076351284980774,1.0
COCH,0.05777052789926529,1.0
COL17A1,0.22895760834217072,1.0
COL5A2,0.43827933073043823,1.0
CPA3,0.033953264355659485,1.0
CRHBP,0.010817106813192368,1.0
CRISPLD2,0.19162234663963318,1.0
CSF2RA,0.0969279333949089,1.0
CSF3,0.020560206845402718,1.0
CTLA4,0.12071971595287323,1.0
CTSG,0.00930706225335598,1.0
CTSK,0.3422775864601135,1.0
CXCL10,0.17795351147651672,1.0
CXCL2,0.17171986401081085,1.0
CXCL6,0.09547384083271027,1.0
CXCL9,0.19725662469863892,1.0
CXCR4,0.39144209027290344,1.0
CYP1A1,0.02811928652226925,1.0
CYP2A7,0.05756732076406479,1.0
CYP2B6,0.15995275974273682,1.0
CYP2F1,0.027227073907852173,1.0
CYP3A4,0.06483257561922073,1.0
CYP4B1,0.09062733501195908,1.0
CYTIP,0.31637319922447205,1.0
DERL3,0.042490873485803604,1.0
DES,0.1842339187860489,1.0
DIRAS3,0.017718026414513588,1.0
DMBT1,0.05765578895807266,1.0
DNAAF1,0.015335312113165855,1.0
DNASE1L3,0.06460622698068619,1.0
DPEP1,0.023423731327056885,1.0
DPT,0.10330655425786972,1.0
DST,0.4832221567630768,1.0
DUSP2,0.06868129968643188,1.0
ECSCR,0.07804572582244873,1.0
EDN1,0.09385384619235992,1.0
EDNRB,0.087193563580513,1.0
EGFL7,0.07046274095773697,1.0
EGFR,0.14036300778388977,1.0
EHF,0.2797999680042267,1.0
ELF5,0.05919663980603218,1.0
EPCAM,0.4735535979270935,1.0
ERBB2,0.15078769624233246,1.0
ERG,0.094144806265831,1.0
ESR1,0.044044073671102524,1.0
FAS,0.15363255143165588,1.0
FBLN1,0.3488590121269226,1.0
FBN1,0.44283527135849,1.0
FCER1A,0.04345259070396423,1.0
FCGR1A,0.14291539788246155,1.0
FCGR3A,0.21150903403759003,1.0
FCN1,0.03673172742128372,1.0
FCN2,0.023856814950704575,1.0
FGFBP1,0.09813852608203888,1.0
FGFBP2,0.022006619721651077,1.0
FGL2,0.26928260922431946,1.0
FHL2,0.3502415716648102,1.0
FKBP11,0.21630004048347473,1.0
FOXA1,0.032674822956323624,1.0
FOXI1,0.016049351543188095,1.0
FOXJ1,0.03212933987379074,1.0
FOXP3,0.049227092415094376,1.0
