gene,mean_readout,nonzero_fraction
ABCC11,0.0029543729033321142,1.0
ACE2,0.03722037002444267,1.0
ACKR1,0.036636073142290115,1.0
ACTA2,0.360800564289093,1.0
ACTG2,0.6156718730926514,1.0
ADAM28,0.16092447936534882,1.0
ADAMTS1,0.13961786031723022,1.0
ADGRE1,0.024357911199331284,1.0
ADGRL4,0.10702558606863022,1.0
ADH1C,0.07661803066730499,1.0
ADH4,0.07703670114278793,1.0
ADIPOQ,0.011650912463665009,1.0
AGER,0.014145788736641407,1.0
AGR3,0.04236224666237831,1.0
AHSP,0.013479853980243206,1.0
AIF1,0.34167036414146423,1.0
ALAS2,0.012944353744387627,1.0
ALDH1A3,0.07078076899051666,1.0
AMY2A,0.1559538096189499,1.0
ANGPT2,0.04231735318899155,1.0
ANPEP,0.17054179310798645,1.0
APCDD1,0.11272253096103668,1.0
APOA5,0.030735686421394348,1.0
APOBEC3A,0.0778888538479805,1.0
APOLD1,0.09941311925649643,1.0
AQP2,0.009762054309248924,1.0
AQP3,0.12225893884897232,1.0
AQP8,0.06563028693199158,1.0
AQP9,0.07597799599170685,1.0
AR,0.026752641424536705,1.0
ARFGEF3,0.06738994270563126,1.0
ASCL1,0.005848171189427376,1.0
ASCL3,0.019383106380701065,1.0
ASPN,0.2128605842590332,1.0
BAMBI,0.07389408349990845,1.0
BANK1,0.21673592925071716,1.0
BASP1,0.5502951145172119,1.0
BBOX1,0.029360804706811905,1.0
BCL2L11,0.21051351726055145,1.0
BMX,0.023119930177927017,1.0
BTNL9,0.03540864586830139,1.0
C15orf48,0.1454959213733673,1.0
C1orf162,0.2359578162431717,1.0
C1orf194,0.013400125317275524,1.0
C20orf85,0.0027758905198425055,1.0
C5orf46,0.03698241710662842,1.0
C6orf118,0.01234465092420578,1.0
C7,0.06238056346774101,1.0
CA4,0.01137604471296072,1.0
CAPN8,0.12765374779701233,1.0
CAV1,0.25964486598968506,1.0
CAVIN1,0.5085609555244446,1.0
CAVIN2,0.05628291517496109,1.0
CCDC39,0.01673445664346218,1.0
CCDC78,0.012375789694488049,1.0
CCL19,0.09883291274309158,1.0
CCL27,0.013251960277557373,1.0
CCL5,0.23468570411205292,1.0
CCNB2,0.1090422123670578,1.0
CCR2,0.054689325392246246,1.0
CCR7,0.13078275322914124,1.0
CD14,0.21696870028972626,1.0
CD163,0.1579841524362564,1.0
CD19,0.1096256822347641,1.0
CD1A,0.02380811795592308,1.0
CD1C,0.06315726786851883,1.0
CD1E,0.03165873512625694,1.0
CD2,0.2492135465145111,1.0
CD247,0.13954970240592957,1.0
CD27,0.10354268550872803,1.0
CD274,0.061446040868759155,1.0
CD28,0.15299929678440094,1.0
CD300E,0.03437212482094765,1.0
CD34,0.1300070583820343,1.0
CD3D,0.19938960671424866,1.0
CD3E,0.2815679907798767,1.0
CD4,0.24233102798461914,1.0
CD5L,0.03543278947472572,1.0
CD68,0.1996893286705017,1.0
CD69,0.10472583770751953,1.0
CD70,0.017106465995311737,1.0
CD79A,0.2564604878425598,1.0
CD83,0.16127508878707886,1.0
CD86,0.11608366668224335,1.0
CD8A,0.15423806011676788,1.0
CD93,0.19774961471557617,1.0
CDH16,0.026329416781663895,1.0
CDK1,0.16506369411945343,1.0
CENPF,0.14077767729759216,1.0
CFAP53,0.02391694486141205,1.0
CFB,0.40358105301856995,1.0
CFHR1,0.0962795540690422,1.0
CFHR3,0.12173199653625488,1.0
CFTR,0.07961774617433548,1.0
CHGA,0.026767686009407043,1.0
CLCA1,0.03620415925979614,1.0
CLCA2,0.31174156069755554,1.0
CLEC10A,0.06319686025381088,1.0
CLEC14A,0.07462216913700104,1.0
CLEC4E,0.05733200162649155,1.0
CLECL1,0.06403752416372299,1.0
CLIC6,0.07962730526924133,1.0
CNN1,0.15046946704387665,1.0
COCH,0.053860265761613846,1.0
COL17A1,0.3048524260520935,1.0
COL5A2,0.37125062942504883,1.0
CPA3,0.030719894915819168,1.0
CRHBP,0.0095182741060853,1.0
CRISPLD2,0.15989477932453156,1.0
CSF2RA,0.09863723814487457,1.0
CSF3,0.021466340869665146,1.0
CTLA4,0.14261667430400848,1.0
CTSG,0.010498706251382828,1.0
CTSK,0.3018186688423157,1.0
CXCL10,0.3149780333042145,1.0
CXCL2,0.1406875103712082,1.0
CXCL6,0.08367398381233215,1.0
CXCL9,0.3148043751716614,1.0
CXCR4,0.3895745873451233,1.0
CYP1A1,0.023907477036118507,1.0
CYP2A7,0.05290409177541733,1.0
CYP2B6,0.06869003921747208,1.0
CYP2F1,0.020866042003035545,1.0
CYP3A4,0.06489093601703644,1.0
CYP4B1,0.06520811468362808,1.0
CYTIP,0.33039000630378723,1.0
DERL3,0.0393998920917511,1.0
DES,0.17549432814121246,1.0
DIRAS3,0.018879186362028122,1.0
DMBT1,0.027691012248396873,1.0
DNAAF1,0.018714215606451035,1.0
DNASE1L3,0.06582377851009369,1.0
DPEP1,0.02118683233857155,1.0
DPT,0.09476954489946365,1.0
DST,0.5072858929634094,1.0
DUSP2,0.07250570505857468,1.0
ECSCR,0.07317186146974564,1.0
EDN1,0.07135223597288132,1.0
EDNRB,0.07524917274713516,1.0
EGFL7,0.06225762516260147,1.0
EGFR,0.15565672516822815,1.0
EHF,0.2567339539527893,1.0
ELF5,0.04317108169198036,1.0
EPCAM,0.32083162665367126,1.0
ERBB2,0.1270148754119873,1.0
ERG,0.06375490874052048,1.0
ESR1,0.03517526760697365,1.0
FAS,0.15239070355892181,1.0
FBLN1,0.23707354068756104,1.0
FBN1,0.3306807577610016,1.0
FCER1A,0.03313262015581131,1.0
FCGR1A,0.1506279855966568,1.0
FCGR3A,0.23837175965309143,1.0
FCN1,0.03688881918787956,1.0
FCN2,0.02117343060672283,1.0
FGFBP1,0.11061644554138184,1.0
FGFBP2,0.02012668177485466,1.0
FGL2,0.28290414810180664,1.0
FHL2,0.3158441483974457,1.0
FKBP11,0.1971728652715683,1.0
FOXA1,0.027230139821767807,1.0
FOXI1,0.01481125969439745,1.0
FOXJ1,0.012835100293159485,1.0
FOXP3,0.07547514885663986,1.0
FSTL3,0.12069840729236603,1.0
FXYD2,0.05476558953523636,1.0
GATA2,0.03386079519987106,1.0
GATM,0.2334553748369217,1.0
GCG,0.013275353237986565,1.0
GDF15,0.08983656018972397,1.0
GEM,0.11653302609920502,1.0
GHRL,0.031171638518571854,1.0
GKN2,0.07034344971179962,1.0
GLIPR1,0.2588919997215271,1.0
GLYATL1,0.04822572320699692,1.0
GNG11,0.10611548274755478,1.0
