gene,mean_readout,nonzero_fraction
ABCC11,0.003830593777820468,1.0
ACE2,0.04243456572294235,1.0
ACKR1,0.057516492903232574,1.0
ACTA2,0.3454327881336212,1.0
ACTG2,0.558934211730957,1.0
ADAM28,0.160725399851799,1.0
ADAMTS1,0.21454083919525146,1.0
ADGRE1,0.02663186565041542,1.0
ADGRL4,0.11215350776910782,1.0
ADH1C,0.08894370496273041,1.0
ADH4,0.07640394568443298,1.0
ADIPOQ,0.01725388877093792,1.0
AGER,0.013200385496020317,1.0
AGR3,0.03558744117617607,1.0
AHSP,0.01350613497197628,1.0
AIF1,0.29984158277511597,1.0
ALAS2,0.016846241429448128,1.0
ALDH1A3,0.0860007107257843,1.0
AMY2A,0.15624037384986877,1.0
ANGPT2,0.04491037130355835,1.0
ANPEP,0.16178330779075623,1.0
APCDD1,0.12695130705833435,1.0
APOA5,0.0316707007586956,1.0
APOBEC3A,0.09060563147068024,1.0
APOLD1,0.11673440784215927,1.0
AQP2,0.010956796817481518,1.0
AQP3,0.14178356528282166,1.0
AQP8,0.0686577782034874,1.0
AQP9,0.06974399089813232,1.0
AR,0.0341731533408165,1.0
ARFGEF3,0.051113586872816086,1.0
ASCL1,0.006625196896493435,1.0
ASCL3,0.02140635997056961,1.0
ASPN,0.14371974766254425,1.0
BAMBI,0.09794381260871887,1.0
BANK1,0.22167304158210754,1.0
BASP1,0.5308631658554077,1.0
BBOX1,0.028980066999793053,1.0
BCL2L11,0.22445881366729736,1.0
BMX,0.023675039410591125,1.0
BTNL9,0.0444929413497448,1.0
C15orf48,0.12850263714790344,1.0
C1orf162,0.21782000362873077,1.0
C1orf194,0.020571615546941757,1.0
C20orf85,0.005668050143867731,1.0
C5orf46,0.04081679880619049,1.0
C6orf118,0.020647449418902397,1.0
C7,0.0961993858218193,1.0
CA4,0.012997226789593697,1.0
CAPN8,0.08540286123752594,1.0
CAV1,0.25401559472084045,1.0
CAVIN1,0.566384494304657,1.0
CAVIN2,0.07639402151107788,1.0
CCDC39,0.021062836050987244,1.0
CCDC78,0.013032285496592522,1.0
CCL19,0.11649410426616669,1.0
CCL27,0.01356069277971983,1.0
CCL5,0.21815705299377441,1.0
CCNB2,0.13442197442054749,1.0
CCR2,0.05308874696493149,1.0
CCR7,0.13644012808799744,1.0
CD14,0.19577838480472565,1.0
CD163,0.12152805179357529,1.0
CD19,0.11354277282953262,1.0
CD1A,0.023607049137353897,1.0
CD1C,0.06529330462217331,1.0
CD1E,0.03460826724767685,1.0
CD2,0.22901777923107147,1.0
CD247,0.13030406832695007,1.0
CD27,0.10747754573822021,1.0
CD274,0.05965043976902962,1.0
CD28,0.15176784992218018,1.0
CD300E,0.03129822760820389,1.0
CD34,0.17059287428855896,1.0
CD3D,0.19478590786457062,1.0
CD3E,0.26412537693977356,1.0
CD4,0.2254890650510788,1.0
CD5L,0.03955964744091034,1.0
CD68,0.15124662220478058,1.0
CD69,0.09894800931215286,1.0
CD70,0.01826215535402298,1.0
CD79A,0.2597735524177551,1.0
CD83,0.15611016750335693,1.0
CD86,0.09484045952558517,1.0
CD8A,0.13342109322547913,1.0
CD93,0.20689654350280762,1.0
CDH16,0.02535017766058445,1.0
CDK1,0.21147921681404114,1.0
CENPF,0.17475323379039764,1.0
CFAP53,0.027918916195631027,1.0
CFB,0.3809962570667267,1.0
CFHR1,0.09623749554157257,1.0
CFHR3,0.13184162974357605,1.0
CFTR,0.08488406985998154,1.0
CHGA,0.02513318881392479,1.0
CLCA1,0.03376694768667221,1.0
CLCA2,0.367786169052124,1.0
CLEC10A,0.07592661678791046,1.0
CLEC14A,0.09308391809463501,1.0
CLEC4E,0.05271713063120842,1.0
CLECL1,0.06676261126995087,1.0
CLIC6,0.08453388512134552,1.0
CNN1,0.163420170545578,1.0
COCH,0.06014372035861015,1.0
COL17A1,0.4053710401058197,1.0
COL5A2,0.341232568025589,1.0
CPA3,0.03519289940595627,1.0
CRHBP,0.013311264105141163,1.0
CRISPLD2,0.15842404961585999,1.0
CSF2RA,0.08763937652111053,1.0
CSF3,0.02351747453212738,1.0
CTLA4,0.12687483429908752,1.0
CTSG,0.012969741597771645,1.0
CTSK,0.2683659493923187,1.0
CXCL10,0.21600869297981262,1.0
CXCL2,0.1552312821149826,1.0
CXCL6,0.10958068072795868,1.0
CXCL9,0.2096339911222458,1.0
CXCR4,0.3783741593360901,1.0
CYP1A1,0.02915988489985466,1.0
CYP2A7,0.05598096922039986,1.0
CYP2B6,0.0631440132856369,1.0
CYP2F1,0.027454379945993423,1.0
CYP3A4,0.06623021513223648,1.0
CYP4B1,0.0721529871225357,1.0
CYTIP,0.30911535024642944,1.0
DERL3,0.038332678377628326,1.0
DES,0.19818025827407837,1.0
DIRAS3,0.020083913579583168,1.0
DMBT1,0.03901033475995064,1.0
DNAAF1,0.022319430485367775,1.0
DNASE1L3,0.07226314395666122,1.0
DPEP1,0.02241092547774315,1.0
DPT,0.11177074909210205,1.0
DST,0.48755621910095215,1.0
DUSP2,0.07064581662416458,1.0
ECSCR,0.08536351472139359,1.0
EDN1,0.09452436864376068,1.0
EDNRB,0.0818847268819809,1.0
EGFL7,0.08012529462575912,1.0
EGFR,0.1743144690990448,1.0
EHF,0.30057451128959656,1.0
ELF5,0.05508333444595337,1.0
EPCAM,0.328893780708313,1.0
ERBB2,0.1545606106519699,1.0
ERG,0.0779256671667099,1.0
ESR1,0.034268349409103394,1.0
FAS,0.17472760379314423,1.0
FBLN1,0.34222888946533203,1.0
FBN1,0.369131475687027,1.0
FCER1A,0.04720310494303703,1.0
FCGR1A,0.1280066967010498,1.0
FCGR3A,0.17394888401031494,1.0
FCN1,0.044817004352808,1.0
FCN2,0.023961594328284264,1.0
FGFBP1,0.13620789349079132,1.0
FGFBP2,0.021647049114108086,1.0
FGL2,0.27437418699264526,1.0
FHL2,0.3217250108718872,1.0
FKBP11,0.20421592891216278,1.0
FOXA1,0.028508564457297325,1.0
FOXI1,0.016651708632707596,1.0
FOXJ1,0.01885051652789116,1.0
FOXP3,0.061894915997982025,1.0
FSTL3,0.14335903525352478,1.0
FXYD2,0.05562968924641609,1.0
GATA2,0.03931519761681557,1.0
GATM,0.2454368770122528,1.0
GCG,0.013472030870616436,1.0
GDF15,0.05443645268678665,1.0
GEM,0.13595476746559143,1.0
GHRL,0.038300346583127975,1.0
GKN2,0.07426872849464417,1.0
GLIPR1,0.23444128036499023,1.0
GLYATL1,0.046013496816158295,1.0
GNG11,0.13031050562858582,1.0
GNLY,0.058701563626527786,1.0
GPC1,0.20871183276176453,1.0
GPC3,0.09626401960849762,1.0
GPR183,0.16455411911010742,1.0
GPRC5A,0.1849323958158493,1.0
GPX2,0.17355407774448395,1.0
GYPA,0.028740335255861282,1.0
GYPB,0.00885133258998394,1.0
GZMA,0.10204069316387177,1.0
